,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region_recod
61,0.69400001,GAB,4,14525.28,,5.5,2.875664710998535,2.666169881820679,,SubSaharian
52,0.67799997,SLV,2,332.26999,,6.9000000953674325,3.804579257965088,3.448570013046265,70.17172241210939,LatAm
115,0.64499998,MAR,3,3999.5601,33.179000854492195,7.5999999046325675,3.170891284942627,,56.14244842529297,NorthAfrica
15,0.89499998,BEL,5,33764.711,11.18099975585938,1.8999999761581419,5.328890800476074,6.5851402282714835,95.2855987548828,WesternDem
80,0.92000002,IRL,5,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795,WesternDem
134,0.69199997,PRY,2,4812.9199,6.559000015258789,5.199999809265137,2.3244397640228267,4.955399990081787,66.45951843261719,LatAm
183,0.68800002,EGY,3,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672,NorthAfrica
122,0.59799999,VUT,9,2877.01,0.2569999992847443,,,4.910830020904541,49.496299743652344,Pacific
144,0.493,RWA,4,1440.39,10.19999980926514,7.5,4.0375962257385245,3.7974600791931152,27.23918914794922,SubSaharian
2,0.74299997,DZA,3,5402.1699,39.11399841308594,5.099999904632568,2.9773023128509517,,,NorthAfrica
170,0.625,TJK,1,3592.6499,8.131999969482424,6.300000190734862,3.8404254913330083,5.232150077819824,83.22482299804688,EastEurope
63,0.44999999,GMB,4,1601.88,,7.699999809265138,4.276580810546875,2.767709970474243,,SubSaharian
153,0.78100002,SYC,4,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.6064400672912598,74.57037353515625,SubSaharian
149,0.565,STP,4,2150.55,,7.9000000953674325,,3.7568199634552,64.42681121826172,SubSaharian
57,0.73400003,FJI,9,3848.72,0.8799999952316284,7.5999999046325675,,3.882889986038208,83.38211059570312,Pacific
3,0.85699999,AND,5,32367.33,,,,2.997809886932373,,WesternDem
133,0.51499999,PNG,9,1693.54,6.880000114440918,7.0999999046325675,,,,Pacific
26,0.40599999,BDI,4,663.5700099999999,,6.800000190734862,2.595248937606812,5.416419982910156,24.94817924499512,SubSaharian
